Data_Length,QR_Type_UPI,QR_Type_URL,QR_Type_TEXT,HTTPS,HTTP,Has_IP_Address,Number_of_Dots,Number_of_Slashes,Number_of_Hyphens,Number_of_Digits,Number_of_Special_Characters,Domain_Length,Domain_Entropy,Number_of_Subdomains,Is_URL_Shortener,Suspicious_TLD,Has_Executable_Ext,Suspicious_Keyword_Count,Has_Suspicious_Keyword,UPI_Payment_Address,UPI_Payee_Name,UPI_Merchant_Code,Label
25,0,1,0,1,0,0,2,3,0,0,6,11,2.5503,1,0,0,0,1,1,0,0,0,0
91,1,0,0,0,0,0,0,2,0,11,17,61,4.4702,0,0,0,0,1,1,1,1,1,0
30,0,1,0,1,0,0,2,3,0,0,6,17,3.1307,1,0,0,0,1,1,0,0,0,0
29,0,1,0,1,0,0,2,4,0,0,7,12,2.8554,1,0,0,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,2,0,4,9,33,4.3697,0,0,0,0,1,1,0,0,0,1
35,0,1,0,1,0,0,2,3,1,0,7,19,3.5369,1,0,0,0,0,0,0,0,0,0
22,0,1,0,0,1,0,1,3,0,1,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
38,0,1,0,1,0,0,3,3,0,0,9,13,2.8151,2,0,0,0,0,0,0,0,0,0
43,0,1,0,0,1,0,2,3,2,0,8,25,3.8439,0,0,1,0,3,1,0,0,0,1
41,1,0,0,0,0,0,0,2,0,4,9,35,4.3002,0,0,0,0,1,1,0,0,0,1
32,0,1,0,1,0,0,2,3,0,0,6,15,3.3232,1,0,0,0,0,0,0,0,0,0
43,0,1,0,0,1,1,4,3,1,11,9,14,2.4956,2,0,0,0,1,1,0,0,0,1
32,0,1,0,1,0,0,2,4,0,0,7,15,3.3232,1,0,0,0,0,0,0,0,0,0
25,0,0,1,0,0,0,0,0,0,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0
59,0,1,0,0,1,0,5,3,1,0,10,44,3.8914,4,0,0,0,3,1,0,0,0,1
27,0,1,0,1,0,0,3,3,0,0,7,13,2.8151,2,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,0,2,3,0,0,6,17,3.2195,1,0,0,0,0,0,0,0,0,0
28,0,1,0,1,0,0,2,3,0,0,6,15,2.6566,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,3,3,0,0,7,16,3.1085,2,0,0,0,0,0,0,0,0,0
54,0,1,0,0,1,0,5,3,1,0,10,40,3.9726,4,0,0,0,3,1,0,0,0,1
23,0,1,0,1,0,0,3,2,0,0,6,15,2.8226,2,0,0,0,0,0,0,0,0,0
26,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
60,0,1,0,0,1,0,5,3,1,0,10,45,3.8589,4,0,0,0,3,1,0,0,0,1
31,0,1,0,1,0,0,2,3,0,0,6,15,3.1899,1,0,0,0,0,0,0,0,0,0
19,0,1,0,0,1,0,1,3,0,2,5,4,2.0,0,1,0,0,0,0,0,0,0,1
40,0,1,0,0,1,1,4,3,1,11,9,14,2.6106,2,0,0,0,1,1,0,0,0,1
22,0,0,1,0,0,0,0,0,0,5,4,0,0.0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,2,0,5,10,37,4.3303,0,0,0,0,2,1,0,1,0,1
28,0,1,0,1,0,0,2,3,0,0,6,11,2.5503,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,17,3.1307,1,0,0,0,1,1,0,0,0,0
24,0,1,0,1,0,0,2,3,0,0,6,11,2.6635,1,0,0,0,0,0,0,0,0,0
35,0,1,0,1,0,0,2,3,0,0,6,22,3.6978,1,0,0,0,0,0,0,0,0,0
28,0,1,0,1,0,0,2,3,0,0,6,15,3.0566,1,0,0,0,0,0,0,0,0,0
54,0,1,0,0,1,0,5,3,1,0,10,41,3.9883,4,0,0,0,2,1,0,0,0,1
58,0,1,0,0,1,0,5,3,1,0,10,45,3.9732,4,0,0,0,3,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
43,0,1,0,1,0,0,2,4,1,0,8,16,3.3278,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,3,0,0,6,16,3.3278,1,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,3,0,0,6,11,2.4817,1,0,0,0,1,1,0,0,0,0
39,0,1,0,1,0,0,2,4,0,0,7,18,3.0588,1,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,3,0,0,8,14,3.3249,1,0,0,0,0,0,0,0,0,0
56,0,1,0,0,1,0,5,3,1,0,10,41,4.0227,4,0,0,0,3,1,0,0,0,1
44,0,1,0,1,0,0,2,4,2,0,9,19,3.5369,1,0,0,0,0,0,0,0,0,0
35,0,1,0,0,1,0,2,3,1,0,7,19,3.4714,0,0,1,0,2,1,0,0,0,1
70,1,0,0,0,0,0,0,2,0,7,13,41,4.3666,0,0,0,0,0,0,1,1,0,0
20,0,1,0,0,1,0,1,3,0,1,5,5,2.3219,0,1,0,0,0,0,0,0,0,1
41,0,1,0,0,1,0,2,3,1,0,7,21,4.0114,0,0,1,1,2,1,0,0,0,1
62,0,1,0,0,1,0,5,3,1,0,10,44,3.8265,4,0,0,0,3,1,0,0,0,1
55,0,1,0,0,1,0,5,3,1,0,10,41,4.0132,4,0,0,0,3,1,0,0,0,1
28,0,1,0,1,0,0,2,3,0,0,6,15,3.3232,1,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,0,2,0,7,13,39,4.253,0,0,0,0,0,0,1,1,0,0
36,0,1,0,0,1,0,2,3,1,0,7,17,3.8522,0,0,1,0,3,1,0,0,0,1
38,1,0,0,0,0,0,0,2,0,4,9,32,4.3042,0,0,0,0,1,1,0,0,0,1
28,0,1,0,1,0,0,2,3,0,0,6,14,3.0391,1,0,0,0,0,0,0,0,0,0
44,0,1,0,0,1,0,2,3,2,0,8,25,3.5133,0,0,1,0,3,1,0,0,0,1
85,1,0,0,0,0,0,0,2,0,11,17,58,4.4943,0,0,0,0,1,1,1,1,1,0
38,0,1,0,1,0,0,2,4,1,0,8,11,2.5503,1,0,0,0,0,0,0,0,0,0
34,0,1,0,1,0,0,2,4,0,0,7,13,3.027,1,0,0,0,0,0,0,0,0,0
36,0,1,0,1,0,0,2,3,0,0,6,20,3.5464,1,0,0,0,0,0,0,0,0,0
34,0,1,0,0,1,1,4,3,1,10,9,13,2.4116,2,0,0,0,1,1,0,0,0,1
42,1,0,0,0,0,0,0,2,0,5,10,36,4.2527,0,0,0,0,1,1,0,1,0,1
28,0,1,0,1,0,0,2,3,0,0,6,14,2.8424,1,0,0,0,0,0,0,0,0,0
47,0,1,0,1,0,0,3,4,1,4,9,21,3.5226,2,0,0,0,0,0,0,0,0,0
27,0,1,0,1,0,0,2,3,0,0,6,14,2.8424,1,0,0,0,0,0,0,0,0,0
22,0,1,0,0,1,0,1,3,0,1,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
47,0,1,0,1,0,0,2,3,0,0,8,22,3.6978,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,2,3,0,0,6,15,2.6566,1,0,0,0,0,0,0,0,0,0
47,0,1,0,0,1,0,2,3,2,0,8,29,3.7194,0,0,1,0,3,1,0,0,0,1
35,0,1,0,1,0,0,3,3,0,0,7,21,3.5226,2,0,0,0,1,1,0,0,0,0
31,0,1,0,1,0,0,3,3,0,0,7,15,2.8226,2,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,3,0,0,6,16,3.3278,1,0,0,0,0,0,0,0,0,0
46,0,1,0,0,1,0,2,3,2,0,8,27,3.8842,0,0,1,0,3,1,0,0,0,1
36,0,1,0,0,1,1,4,3,1,10,9,13,2.7193,2,0,0,0,1,1,0,0,0,1
29,0,1,0,1,0,0,2,3,0,0,6,15,3.4566,1,0,0,0,1,1,0,0,0,0
41,0,1,0,1,0,0,2,3,0,0,8,16,3.3278,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,5,0,5,8,15,3.1899,1,0,0,0,0,0,0,0,0,0
25,0,1,0,0,1,0,1,3,0,3,5,10,3.1219,0,1,0,0,0,0,0,0,0,1
35,0,1,0,1,0,0,2,3,0,0,8,10,2.6464,1,0,0,0,0,0,0,0,0,0
38,0,1,0,1,0,0,3,5,0,5,9,13,2.8151,2,0,0,0,0,0,0,0,0,0
27,0,1,0,1,0,0,2,3,0,0,6,11,2.4817,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,3,0,0,6,15,3.3232,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,3,0,1,8,17,2.9842,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,3,3,0,0,7,16,3.1085,2,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,1,0,8,12,3.0221,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,4,1,4,8,14,2.9502,1,0,0,0,0,0,0,0,0,0
42,0,1,0,0,1,0,2,3,1,0,7,22,3.8454,0,0,1,1,2,1,0,0,0,1
38,0,1,0,1,0,0,2,4,1,0,8,13,3.027,1,0,0,0,0,0,0,0,0,0
42,0,1,0,0,1,0,2,3,2,0,8,23,3.8279,0,0,1,0,2,1,0,0,0,1
23,0,1,0,1,0,0,2,2,0,0,5,15,3.0566,1,0,0,0,0,0,0,0,0,0
53,0,1,0,0,1,0,5,3,1,0,10,38,3.9881,4,0,0,0,3,1,0,0,0,1
29,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
44,0,1,0,1,0,0,2,4,1,0,8,19,3.5369,1,0,0,0,1,1,0,0,0,0
33,0,1,0,1,0,0,2,3,0,0,6,16,3.4528,1,0,0,0,1,1,0,0,0,0
40,0,1,0,1,0,0,2,4,1,0,8,15,3.1899,1,0,0,0,0,0,0,0,0,0
25,0,1,0,0,1,0,1,3,0,3,5,10,3.1219,0,1,0,0,0,0,0,0,0,1
31,0,1,0,1,0,0,2,3,0,0,6,17,3.1751,1,1,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,2,0,7,13,37,4.2834,0,0,0,0,0,0,1,1,0,0
35,0,1,0,1,0,0,2,4,0,0,7,14,3.182,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,4,0,0,7,13,3.027,1,0,0,0,0,0,0,0,0,0
21,0,1,0,0,1,0,1,3,0,2,5,6,1.9183,0,1,0,0,0,0,0,0,0,1
30,0,1,0,1,0,0,3,4,0,0,8,13,2.8151,2,0,0,0,0,0,0,0,0,0
34,0,1,0,0,1,1,4,3,1,10,9,13,2.6612,2,0,0,0,1,1,0,0,0,1
37,0,1,0,0,1,1,4,3,1,10,9,13,2.8731,2,0,0,0,1,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,17,3.2195,1,0,0,0,0,0,0,0,0,0
41,0,1,0,1,0,0,2,4,1,4,8,15,3.0566,1,0,0,0,0,0,0,0,0,0
23,0,1,0,1,0,0,2,2,0,0,5,15,3.3232,1,0,0,0,0,0,0,0,0,0
43,0,1,0,0,1,0,2,3,2,0,8,24,3.6683,0,0,1,0,2,1,0,0,0,1
33,0,1,0,1,0,0,2,4,0,0,7,12,2.8554,1,0,0,0,0,0,0,0,0,0
58,0,1,0,0,1,0,5,3,1,0,10,44,3.98,4,0,0,0,3,1,0,0,0,1
29,0,1,0,1,0,0,2,3,0,0,6,16,3.3278,1,0,0,0,0,0,0,0,0,0
50,0,1,0,0,1,0,5,3,1,0,10,38,4.1132,4,0,0,0,3,1,0,0,0,1
33,0,1,0,1,0,0,3,3,0,0,7,16,3.1085,2,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,4,0,0,7,14,3.182,1,1,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,13,2.8731,1,0,0,0,0,0,0,0,0,0
45,0,0,1,0,0,0,0,0,0,0,7,0,0.0,0,0,0,0,4,1,0,0,0,1
38,0,1,0,0,1,1,4,3,1,10,9,13,2.5074,2,0,0,0,1,1,0,0,0,1
48,0,1,0,1,0,0,2,4,1,4,8,22,3.6978,1,0,0,0,0,0,0,0,0,0
40,0,1,0,0,1,1,4,3,1,9,9,12,2.3554,2,0,0,0,2,1,0,0,0,1
43,0,1,0,1,0,0,2,4,1,4,8,17,3.4548,1,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,2,0,5,10,37,4.3303,0,0,0,0,2,1,0,1,0,1
29,0,1,0,1,0,0,2,3,0,0,6,15,3.4566,1,0,0,0,0,0,0,0,0,0
38,0,1,0,1,0,0,2,4,1,0,8,13,2.8731,1,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,0,2,3,0,1,6,17,2.9842,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,4,0,0,7,11,2.4817,1,0,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,2,0,11,17,58,4.4728,0,0,0,0,1,1,1,1,1,0
46,0,1,0,0,1,0,2,3,2,0,8,27,3.8842,0,0,1,0,3,1,0,0,0,1
31,0,1,0,1,0,0,2,4,0,0,7,14,2.8424,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,2,4,0,0,7,12,3.0221,1,0,0,0,0,0,0,0,0,0
41,0,1,0,1,0,0,2,4,1,4,8,15,3.1899,1,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,0,2,3,1,0,7,21,3.6304,0,0,1,1,2,1,0,0,0,1
40,0,1,0,1,0,0,2,4,1,0,8,13,3.027,1,0,0,0,0,0,0,0,0,0
28,0,1,0,1,0,0,2,3,0,0,6,11,2.6635,1,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,3,5,0,5,9,14,2.8424,2,0,0,0,0,0,0,0,0,0
34,0,1,0,1,0,0,2,3,0,0,6,18,3.0588,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,3,0,0,6,16,3.4528,1,0,0,0,1,1,0,0,0,0
26,0,1,0,1,0,0,2,3,0,0,6,10,2.6464,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.182,1,0,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,2,0,11,17,56,4.4237,0,0,0,0,1,1,1,1,1,0
45,0,1,0,0,1,0,2,3,1,0,7,25,3.9737,0,0,1,1,2,1,0,0,0,1
29,0,1,0,1,0,0,2,3,0,0,6,15,3.1899,1,0,0,0,0,0,0,0,0,0
40,0,1,0,0,1,0,2,3,2,0,8,23,3.6753,0,0,1,0,3,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,14,2.9502,1,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,0,2,3,0,0,6,20,3.5464,1,0,0,0,0,0,0,0,0,0
37,0,1,0,0,1,0,2,3,1,0,7,18,3.7255,0,0,1,0,2,1,0,0,0,1
42,0,1,0,1,0,0,2,4,1,1,8,17,2.9842,1,0,0,0,0,0,0,0,0,0
37,0,1,0,1,0,0,2,4,1,4,8,11,2.6635,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,17,3.1307,1,0,0,0,1,1,0,0,0,0
36,0,1,0,0,1,0,2,3,1,0,7,18,3.4194,0,0,1,0,2,1,0,0,0,1
32,0,1,0,1,0,0,2,3,0,0,6,18,3.0588,1,0,0,0,1,1,0,0,0,0
42,0,1,0,1,0,0,2,4,1,0,8,15,2.6566,1,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,3,0,0,6,15,3.1899,1,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,4,0,0,7,14,3.0391,1,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,2,0,3,7,22,3.7544,0,0,0,0,1,1,1,0,0,1
44,0,0,1,0,0,0,0,0,0,0,6,0,0.0,0,0,0,0,5,1,0,0,0,1
41,0,1,0,1,0,0,2,4,0,0,7,20,3.5464,1,0,0,0,0,0,0,0,0,0
54,0,1,0,0,1,0,5,3,1,0,10,42,4.1096,4,0,0,0,3,1,0,0,0,1
39,0,1,0,0,1,0,2,3,2,0,8,20,3.8219,0,0,1,0,3,1,0,0,0,1
37,0,1,0,1,0,0,2,3,0,0,8,12,2.8554,1,0,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,4,3,1,11,9,14,2.2988,2,0,0,0,1,1,0,0,0,1
41,0,1,0,1,0,0,2,4,1,4,8,15,3.3232,1,0,0,0,0,0,0,0,0,0
38,0,1,0,1,0,0,3,3,0,0,7,21,3.5226,2,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,3,0,0,6,11,2.5503,1,0,0,0,0,0,0,0,0,0
36,0,1,0,0,1,0,2,3,1,0,7,16,3.75,0,0,1,0,2,1,0,0,0,1
32,0,0,1,0,0,0,0,0,0,4,5,0,0.0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,1,0,0,2,3,0,0,6,11,2.4817,1,0,0,0,0,0,0,0,0,0
26,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
42,0,1,0,0,1,0,2,3,1,0,7,22,3.7499,0,0,1,1,2,1,0,0,0,1
44,0,1,0,0,1,0,2,3,1,0,7,24,3.8035,0,0,1,1,2,1,0,0,0,1
31,0,1,0,1,0,0,2,3,0,0,6,14,3.3249,1,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,1,4,3,1,12,9,15,3.1396,2,0,0,0,1,1,0,0,0,1
32,0,1,0,1,0,0,3,3,0,0,7,16,3.1085,2,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,2,0,3,7,24,3.9702,0,0,0,0,1,1,1,0,0,1
41,0,1,0,0,1,0,2,3,2,0,8,23,3.5884,0,0,1,0,3,1,0,0,0,1
42,0,1,0,0,1,0,2,3,1,0,7,22,3.7888,0,0,1,1,2,1,0,0,0,1
34,0,1,0,1,0,0,2,4,0,0,7,17,3.2195,1,0,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,4,3,1,10,9,13,2.8731,2,0,0,0,1,1,0,0,0,1
72,1,0,0,0,0,0,0,2,0,7,13,42,4.3501,0,0,0,0,0,0,1,1,0,0
39,1,0,0,0,0,0,0,2,0,4,9,33,4.332,0,0,0,0,1,1,0,0,0,1
28,1,0,0,0,0,0,0,2,0,3,7,22,3.7322,0,0,0,0,1,1,1,0,0,1
36,0,1,0,0,1,0,2,3,1,0,7,17,3.7345,0,0,1,0,2,1,0,0,0,1
35,0,1,0,1,0,0,2,3,1,0,7,19,3.5369,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,16,3.4528,1,0,0,0,1,1,0,0,0,0
42,0,1,0,1,0,0,2,3,0,0,8,17,3.2195,1,0,0,0,0,0,0,0,0,0
